id,neighbourhood,LAT_LONG
1976,Morningside Heights,"40.8058, -73.9652"
1977,Harlem,"40.81698, -73.95259"
1978,West Village,"40.72941, -74.00317"
1979,Financial District,"40.7061, -74.00936"
1980,East Village,"40.72789, -73.98756"
1981,East Harlem,"40.80397, -73.93499"
1982,East Village,"40.72171, -73.98334"
1983,East Harlem,"40.7932, -73.94007"
1984,East Village,"40.72436, -73.98235"
1985,West Village,"40.73277, -74.00413"
1986,Harlem,"40.82408, -73.94643"
1987,Kips Bay,"40.74197, -73.98012"
1988,Midtown,"40.75182, -73.97052"
1989,Morningside Heights,"40.81214, -73.96488"
1990,Greenwich Village,"40.73411, -73.99787"
1991,Hell's Kitchen,"40.76406, -73.98868"
1992,Hell's Kitchen,"40.76399, -73.98971"
1993,Financial District,"40.70498, -74.00992"
1994,Hell's Kitchen,"40.76043, -73.99132"
1995,East Village,"40.72645, -73.98035"
1996,Upper West Side,"40.79772, -73.96213"
1997,Chinatown,"40.71333, -73.9916"
1998,Financial District,"40.70781, -74.00701"
1999,Harlem,"40.82325, -73.9478"
2000,Greenwich Village,"40.73432, -73.99686"
2001,Harlem,"40.81102, -73.94562"
2002,East Village,"40.72507, -73.9827"
2003,Lower East Side,"40.72223, -73.99189"
2004,Chinatown,"40.71404, -73.99085"
2005,Harlem,"40.80379, -73.95257"
2006,Murray Hill,"40.74838, -73.97695"
2007,Inwood,"40.86735, -73.91762"
2008,Chelsea,"40.74493, -74.00195"
2009,Hell's Kitchen,"40.76642, -73.98326"
2010,Harlem,"40.8173, -73.95571"
2011,West Village,"40.73207, -74.00322"
2012,Upper West Side,"40.79476, -73.97299"
2013,Midtown,"40.75072, -73.97023"
2014,Hell's Kitchen,"40.76534, -73.9925"
2015,Murray Hill,"40.74716, -73.97607"
2016,SoHo,"40.72273, -74.00479"
2017,Harlem,"40.80801, -73.9486"
2018,Midtown,"40.75728, -73.97152"
2019,East Harlem,"40.79741, -73.93884"
2020,East Village,"40.72288, -73.98344"
2021,Midtown,"40.76365, -73.98057"
2022,Chelsea,"40.74481, -73.99264"
2023,Harlem,"40.80543, -73.95739"
2024,Upper East Side,"40.76323, -73.95916"
2025,Kips Bay,"40.73876, -73.98108"
2026,East Harlem,"40.81211, -73.9378"
2027,Midtown,"40.76326, -73.98165"
2028,Upper West Side,"40.80343, -73.96796"
2029,East Village,"40.72257, -73.98465"
2030,Midtown,"40.76592, -73.98095"
2031,East Harlem,"40.80347, -73.93522"
2032,Midtown,"40.75169, -73.97162"
2033,Washington Heights,"40.83414, -73.94565"
2034,Harlem,"40.81577, -73.94711"
2035,Harlem,"40.83013, -73.94112"
2036,Harlem,"40.81816, -73.94305"
2037,Hell's Kitchen,"40.76738, -73.98743"
2038,Harlem,"40.8296, -73.94651"
2039,Upper East Side,"40.77093, -73.95873"
2040,Lower East Side,"40.7235, -73.99096"
2041,Midtown,"40.76473, -73.98131"
2042,Midtown,"40.74465, -73.98535"
2043,Tribeca,"40.7132, -74.00942"
2044,Washington Heights,"40.84411, -73.93764"
2045,Upper East Side,"40.7687, -73.9556"
2046,Harlem,"40.80621, -73.94877"
2047,Chelsea,"40.74366, -73.99721"
2048,Upper East Side,"40.77439, -73.94965"
2049,Murray Hill,"40.74769, -73.97592"
2050,Upper West Side,"40.80077, -73.9681"
2051,Lower East Side,"40.71932, -73.99396"
2052,Hell's Kitchen,"40.76463, -73.99128"
2053,Upper East Side,"40.78417, -73.94902"
2054,Financial District,"40.70737, -74.01103"
2055,Upper West Side,"40.78146, -73.97917"
2056,Murray Hill,"40.74961, -73.97865"
2057,Hell's Kitchen,"40.75981, -73.99071"
2058,Theater District,"40.76106, -73.98627"
2059,East Harlem,"40.80523, -73.93929"
2060,Hell's Kitchen,"40.76548, -73.98474"
2061,Upper East Side,"40.7685, -73.95698"
2062,Financial District,"40.70632, -74.0116"
2063,Harlem,"40.82649, -73.94623"
2064,Hell's Kitchen,"40.76183, -73.99181"
2065,Harlem,"40.8305, -73.9437"
2066,Harlem,"40.82178, -73.93946"
2067,East Harlem,"40.8066, -73.9408"
2068,Murray Hill,"40.74422, -73.97124"
2069,Kips Bay,"40.73988, -73.97968"
2070,Lower East Side,"40.71823, -73.98319"
2071,Hell's Kitchen,"40.76702, -73.98741"
2072,Midtown,"40.74702, -73.98778"
2073,Inwood,"40.86594, -73.92487"
2074,Nolita,"40.72351, -73.99627"
