id,neighbourhood,LAT_LONG
11272,Little Italy,"40.71773, -73.99812"
11273,Chinatown,"40.71409, -73.99434"
11274,East Harlem,"40.79781, -73.93599"
11275,Chinatown,"40.7157, -73.99183"
11276,Upper West Side,"40.79682, -73.96282"
11277,Hell's Kitchen,"40.76404, -73.98933"
11278,Midtown,"40.75175, -73.97218"
11279,Midtown,"40.74914, -73.98779"
11280,Upper East Side,"40.76328, -73.96598"
11281,Upper West Side,"40.79591, -73.96204"
11282,East Village,"40.72412, -73.97815"
11283,East Village,"40.72259, -73.98502"
11284,Upper West Side,"40.77779, -73.98459"
11285,Hell's Kitchen,"40.76714, -73.9834"
11286,Kips Bay,"40.74077, -73.97977"
11287,East Harlem,"40.79933, -73.94272"
11288,Harlem,"40.82154, -73.94925"
11289,East Village,"40.72859, -73.97977"
11290,Midtown,"40.76733, -73.98074"
11291,Midtown,"40.75783, -73.96383"
11292,East Village,"40.72607, -73.97631"
11293,Upper West Side,"40.79466, -73.97173"
11294,SoHo,"40.72667, -74.00257"
11295,East Village,"40.73048, -73.98269"
11296,Upper West Side,"40.78833, -73.97026"
11297,Upper East Side,"40.77598, -73.94904"
11298,Midtown,"40.75494, -73.96522"
11299,Murray Hill,"40.74605, -73.9773"
11300,Chinatown,"40.71655, -73.99042"
11301,Upper West Side,"40.79584, -73.96242"
11302,Financial District,"40.711, -74.00883"
11303,East Village,"40.72966, -73.98187"
11304,Chelsea,"40.7394, -73.99964"
11305,East Village,"40.7232, -73.98561"
11306,East Village,"40.73305, -73.98668"
11307,Upper West Side,"40.78413, -73.97451"
11308,Harlem,"40.81669, -73.94267"
11309,East Village,"40.72685, -73.98349"
11310,East Village,"40.72538, -73.98351"
11311,Upper East Side,"40.76555, -73.95791"
11312,West Village,"40.74, -74.004"
11313,Upper West Side,"40.77771, -73.98023"
11314,West Village,"40.73621, -74.00612"
11315,Midtown,"40.76016, -73.96597"
11316,Midtown,"40.74475, -73.98337"
11317,Hell's Kitchen,"40.76249, -73.99103"
11318,Midtown,"40.76358, -73.98015"
11319,Lower East Side,"40.71954, -73.99067"
11320,Civic Center,"40.71365, -74.0053"
11321,Midtown,"40.75442, -73.96696"
11322,Greenwich Village,"40.72603, -73.99746"
11323,East Village,"40.72297, -73.9852"
11324,Chelsea,"40.74271, -73.99554"
11325,Hell's Kitchen,"40.76446, -73.99175"
11326,East Harlem,"40.78968, -73.94202"
11327,Kips Bay,"40.74351, -73.97857"
11328,Two Bridges,"40.7113, -73.99442"
11329,Little Italy,"40.71932, -73.99522"
11330,East Village,"40.72956, -73.97903"
11331,West Village,"40.73612, -73.99978"
11332,Harlem,"40.82238, -73.95534"
11333,Nolita,"40.72394, -73.99583"
11334,Upper West Side,"40.80118, -73.96642"
11335,Washington Heights,"40.84365, -73.93982"
11336,West Village,"40.73611, -74.00922"
11337,Midtown,"40.75855, -73.96661"
11338,Midtown,"40.74578, -73.98076"
11339,East Harlem,"40.80253, -73.94016"
11340,Hell's Kitchen,"40.75981, -73.99118"
11341,Upper West Side,"40.78688, -73.97403"
11342,SoHo,"40.72689, -74.00086"
11343,Midtown,"40.76223, -73.97588"
11344,Murray Hill,"40.74819, -73.97201"
11345,Upper East Side,"40.76281, -73.96718"
11346,Hell's Kitchen,"40.75665, -73.99838"
11347,Harlem,"40.80392, -73.94685"
11348,Upper West Side,"40.79024, -73.97911"
11349,Harlem,"40.83117, -73.94281"
11350,Upper East Side,"40.77489, -73.95242"
11351,Hell's Kitchen,"40.76313, -73.99081"
11352,Financial District,"40.70648, -74.00499"
11353,Washington Heights,"40.85762, -73.93175"
11354,West Village,"40.73214, -74.00531"
11355,Murray Hill,"40.74442, -73.9717"
11356,Harlem,"40.82311, -73.94749"
11357,Harlem,"40.82392, -73.94205"
11358,West Village,"40.7378, -74.0062"
11359,Upper West Side,"40.77455, -73.98882"
11360,Chelsea,"40.73974, -74.00069"
11361,Washington Heights,"40.84412, -73.93968"
11362,Roosevelt Island,"40.7623, -73.95044"
11363,Hell's Kitchen,"40.76412, -73.99141"
11364,Upper West Side,"40.79821, -73.96058"
11365,Hell's Kitchen,"40.76439, -73.98943"
11366,East Village,"40.73214, -73.98783"
11367,SoHo,"40.72706, -74.00043"
11368,Harlem,"40.81378, -73.95353"
11369,Greenwich Village,"40.72843, -73.99825"
11370,Harlem,"40.81249, -73.94175"
11371,Financial District,"40.70503, -74.00674"
11372,Harlem,"40.81851, -73.9567"
11373,East Harlem,"40.78987, -73.94883"
11374,Tribeca,"40.71459, -74.00933"
11375,Greenwich Village,"40.72812, -73.99983"
11376,Murray Hill,"40.74864, -73.97383"
11377,SoHo,"40.72352, -74.00365"
11378,Kips Bay,"40.74021, -73.97992"
11379,Harlem,"40.82057, -73.95511"
11380,Tribeca,"40.71877, -74.0026"
11381,Upper West Side,"40.77689, -73.98103"
11382,East Village,"40.72614, -73.98795"
11383,Upper West Side,"40.7988, -73.97277"
11384,Washington Heights,"40.8459, -73.94219"
11385,Hell's Kitchen,"40.7652, -73.99197"
11386,Hell's Kitchen,"40.7665, -73.98943"
11387,Hell's Kitchen,"40.75589, -73.99729"
11388,Midtown,"40.75233, -73.97137"
11389,Upper East Side,"40.77559, -73.95263"
11390,Harlem,"40.82928, -73.94054"
11391,Greenwich Village,"40.72978, -73.99982"
11392,Upper East Side,"40.78125, -73.94851"
11393,Gramercy,"40.73608, -73.9857"
11394,Murray Hill,"40.74849, -73.97708"
11395,Midtown,"40.75511, -73.96825"
11396,Morningside Heights,"40.8042, -73.96507"
11397,Hell's Kitchen,"40.76793, -73.98561"
11398,East Village,"40.72957, -73.9882"
11399,Hell's Kitchen,"40.75636, -73.99675"
11400,Murray Hill,"40.74666, -73.97358"
11401,East Village,"40.72709, -73.98612"
11402,Greenwich Village,"40.72939, -74.00225"
11403,Harlem,"40.80674, -73.95616"
11404,Hell's Kitchen,"40.7663, -73.98359"
11405,Harlem,"40.81562, -73.94712"
11406,Financial District,"40.70429, -74.00714"
11407,Financial District,"40.70538, -74.00664"
11408,Harlem,"40.80756, -73.94886"
11409,Washington Heights,"40.83849, -73.93809"
11410,Harlem,"40.8214, -73.95675"
11411,Washington Heights,"40.84063, -73.93928"
11412,East Village,"40.73197, -73.98674"
11413,Harlem,"40.81042, -73.94717"
11414,Theater District,"40.76196, -73.98536"
11415,Theater District,"40.75638, -73.98834"
11416,Hell's Kitchen,"40.76032, -73.99076"
11417,Upper East Side,"40.77631, -73.9556"
11418,Murray Hill,"40.74475, -73.97201"
11419,East Harlem,"40.78552, -73.94153"
11420,Hell's Kitchen,"40.76568, -73.9876"
11421,Upper West Side,"40.77974, -73.97973"
11422,Lower East Side,"40.72057, -73.99185"
11423,Chelsea,"40.74513, -74.00076"
11424,Harlem,"40.82429, -73.95225"
11425,Roosevelt Island,"40.76206, -73.94904"
11426,Hell's Kitchen,"40.75892, -73.99146"
11427,Harlem,"40.80167, -73.95781"
11428,East Village,"40.72334, -73.9839"
11429,Harlem,"40.81379, -73.94671"
11430,Upper West Side,"40.78383, -73.97529"
11431,Midtown,"40.75434, -73.96569"
11432,East Village,"40.72935, -73.98465"
11433,East Harlem,"40.79345, -73.93977"
11434,Murray Hill,"40.74425, -73.97137"
11435,Tribeca,"40.71495, -74.00701"
11436,Upper West Side,"40.78548, -73.97078"
11437,Murray Hill,"40.74476, -73.9755"
11438,Harlem,"40.82127, -73.95669"
11439,Harlem,"40.82582, -73.946"
11440,Upper East Side,"40.78365, -73.94723"
11441,Chelsea,"40.73726, -73.9928"
11442,East Harlem,"40.80006, -73.9459"
11443,Midtown,"40.74605, -73.98634"
11444,Harlem,"40.81634, -73.94344"
11445,Hell's Kitchen,"40.76453, -73.99515"
11446,Harlem,"40.82539, -73.9488"
11447,Lower East Side,"40.71197, -73.99019"
11448,Theater District,"40.75987, -73.98758"
11449,Upper West Side,"40.79816, -73.9619"
11450,Harlem,"40.81699, -73.94254"
11451,Washington Heights,"40.85183, -73.94022"
11452,Theater District,"40.76113, -73.9818"
11453,Harlem,"40.81618, -73.94894"
11454,Flatiron District,"40.74312, -73.98977"
11455,Harlem,"40.82322, -73.94002"
11456,East Harlem,"40.79757, -73.94006"
11457,Washington Heights,"40.84437, -73.94328"
11458,East Harlem,"40.79858, -73.93585"
11459,Upper East Side,"40.76935, -73.95381"
11460,Tribeca,"40.71674, -74.0069"
11461,Midtown,"40.76537, -73.98332"
11462,Upper East Side,"40.78024, -73.94813"
11463,Hell's Kitchen,"40.75692, -73.9979"
11464,East Village,"40.7316, -73.98576"
11465,Upper East Side,"40.76258, -73.96809"
11466,Upper West Side,"40.79971, -73.96037"
11467,Upper East Side,"40.77138, -73.94809"
11468,Midtown,"40.75169, -73.97302"
11469,Harlem,"40.79863, -73.95292"
11470,Chelsea,"40.74217, -73.99649"
11471,East Harlem,"40.7972, -73.94749"
11472,Upper East Side,"40.7844, -73.94856"
11473,Harlem,"40.80169, -73.95154"
11474,Lower East Side,"40.71435, -73.98924"
11475,Upper West Side,"40.8002, -73.96045"
11476,East Village,"40.72972, -73.97995"
11477,Financial District,"40.71033, -74.00743"
11478,Lower East Side,"40.71884, -73.98354"
11479,East Village,"40.72509, -73.98954"
11480,Harlem,"40.81498, -73.95078"
11481,Harlem,"40.80298, -73.95375"
11482,Inwood,"40.86256, -73.92887"
11483,SoHo,"40.72605, -74.00072"
11484,Upper West Side,"40.795, -73.97479"
11485,East Village,"40.73231, -73.98689"
11486,Financial District,"40.70606, -74.0054"
11487,East Harlem,"40.79887, -73.94178"
11488,Hell's Kitchen,"40.76255, -73.99026"
11489,Harlem,"40.82862, -73.94938"
11490,Washington Heights,"40.85117, -73.94344"
11491,Upper West Side,"40.7723, -73.98764"
11492,Upper West Side,"40.79774, -73.97274"
11493,Murray Hill,"40.75091, -73.97597"
11494,Harlem,"40.80121, -73.95002"
11495,Hell's Kitchen,"40.75655, -73.9969"
11496,East Harlem,"40.79356, -73.94164"
11497,Chelsea,"40.74318, -73.99987"
11498,Lower East Side,"40.72085, -73.98895"
11499,West Village,"40.74069, -74.00546"
11500,Midtown,"40.74576, -73.98339"
11501,Midtown,"40.74226, -73.98344"
11502,Upper East Side,"40.76395, -73.96196"
11503,Hell's Kitchen,"40.76633, -73.9875"
11504,Upper West Side,"40.7744, -73.9874"
11505,Flatiron District,"40.74056, -73.99262"
11506,Midtown,"40.74911, -73.9877"
11507,East Harlem,"40.79462, -73.94923"
11508,Harlem,"40.80706, -73.94665"
11509,Harlem,"40.80226, -73.94976"
11510,Upper West Side,"40.7863, -73.97658"
11511,East Village,"40.72413, -73.97277"
11512,SoHo,"40.72358, -74.00397"
11513,Upper East Side,"40.78213, -73.94839"
11514,Upper East Side,"40.76738, -73.95556"
11515,Midtown,"40.74371, -73.98454"
11516,East Village,"40.72989, -73.9888"
11517,Upper East Side,"40.78234, -73.94907"
11518,Kips Bay,"40.73951, -73.98146"
11519,Hell's Kitchen,"40.76636, -73.98634"
11520,Murray Hill,"40.74682, -73.97983"
11521,Hell's Kitchen,"40.75951, -73.99455"
11522,Lower East Side,"40.71341, -73.98856"
11523,Chelsea,"40.74656, -74.00441"
11524,East Village,"40.72478, -73.97771"
11525,Little Italy,"40.71839, -73.99834"
11526,West Village,"40.73179, -74.00149"
11527,Upper West Side,"40.80052, -73.9706"
11528,Marble Hill,"40.87634, -73.90948"
11529,Kips Bay,"40.74072, -73.98133"
11530,Little Italy,"40.71828, -73.99761"
11531,East Village,"40.72476, -73.97643"
11532,Upper East Side,"40.76284, -73.96507"
11533,Upper East Side,"40.76514, -73.96176"
11534,Harlem,"40.82424, -73.94664"
11535,Financial District,"40.70666, -74.00529"
11536,Lower East Side,"40.71966, -73.99236"
11537,East Village,"40.72734, -73.98338"
11538,Harlem,"40.81614, -73.94116"
11539,East Harlem,"40.79212, -73.95032"
11540,West Village,"40.73242, -74.00404"
11541,East Harlem,"40.80617, -73.93868"
11542,Upper West Side,"40.78803, -73.97432"
11543,Hell's Kitchen,"40.76077, -73.99427"
11544,Hell's Kitchen,"40.76407, -73.99322"
11545,Two Bridges,"40.71214, -73.99568"
11546,NoHo,"40.72517, -73.99274"
11547,Chelsea,"40.7417, -73.9978"
11548,Financial District,"40.70658, -74.01036"
11549,Upper West Side,"40.80233, -73.96742"
11550,Lower East Side,"40.71307, -73.99025"
11551,Lower East Side,"40.7197, -73.99331"
11552,Kips Bay,"40.74361, -73.97677"
11553,Financial District,"40.70844, -74.00615"
11554,Hell's Kitchen,"40.76191, -73.99818"
11555,Morningside Heights,"40.81055, -73.95549"
11556,Upper West Side,"40.79408, -73.97392"
11557,Hell's Kitchen,"40.76152, -73.98793"
11558,Hell's Kitchen,"40.76274, -73.99321"
11559,East Harlem,"40.78728, -73.94976"
11560,East Village,"40.7221, -73.98304"
11561,West Village,"40.73075, -74.00222"
11562,Hell's Kitchen,"40.75606, -73.99374"
11563,Harlem,"40.80804, -73.95373"
11564,Lower East Side,"40.71879, -73.98362"
11565,Kips Bay,"40.74261, -73.98102"
11566,Tribeca,"40.7187, -74.00384"
11567,Washington Heights,"40.83397, -73.94541"
11568,Midtown,"40.74573, -73.99049"
11569,Midtown,"40.75572, -73.98331"
11570,Nolita,"40.72206, -73.99497"
11571,Upper West Side,"40.80348, -73.96579"
11572,East Village,"40.72485, -73.98422"
11573,Financial District,"40.7076, -74.01367"
11574,East Village,"40.72789, -73.98236"
11575,East Harlem,"40.80921, -73.94002"
11576,Harlem,"40.80546, -73.95221"
11577,Tribeca,"40.71888, -74.00431"
11578,Upper West Side,"40.79082, -73.97452"
11579,Harlem,"40.80076, -73.95742"
11580,Midtown,"40.75383, -73.97278"
11581,East Village,"40.72886, -73.9883"
11582,East Harlem,"40.7887, -73.94736"
11583,Upper West Side,"40.77864, -73.98437"
11584,East Harlem,"40.79863, -73.93795"
11585,Hell's Kitchen,"40.76595, -73.98643"
11586,Theater District,"40.76234, -73.98605"
11587,Upper East Side,"40.76775, -73.95371"
11588,East Village,"40.72669, -73.98864"
11589,Roosevelt Island,"40.76348, -73.94859"
11590,Upper West Side,"40.7852, -73.9714"
11591,Chelsea,"40.75122, -73.99658"
11592,Harlem,"40.81085, -73.94768"
11593,Kips Bay,"40.74346, -73.97827"
11594,Hell's Kitchen,"40.76515, -73.99423"
11595,East Village,"40.72267, -73.9852"
11596,Chelsea,"40.74206, -73.99499"
11597,Upper East Side,"40.76937, -73.95745"
11598,East Village,"40.72644, -73.97866"
11599,Kips Bay,"40.73905, -73.97353"
11600,Hell's Kitchen,"40.75453, -73.99526"
11601,Kips Bay,"40.74371, -73.97946"
11602,West Village,"40.7383, -74.00602"
11603,Hell's Kitchen,"40.76477, -73.98542"
11604,Chelsea,"40.74227, -73.99362"
11605,Greenwich Village,"40.7305, -73.99647"
11606,Upper East Side,"40.76178, -73.96713"
11607,Harlem,"40.82312, -73.94971"
11608,Upper West Side,"40.77567, -73.9786"
11609,East Village,"40.72508, -73.98335"
11610,Chelsea,"40.74392, -74.00113"
11611,SoHo,"40.7276, -74.00275"
11612,Inwood,"40.86763, -73.91792"
11613,East Village,"40.72145, -73.97881"
11614,Upper West Side,"40.8017, -73.96991"
11615,Midtown,"40.76455, -73.97959"
11616,Hell's Kitchen,"40.76428, -73.98988"
11617,East Village,"40.72574, -73.98498"
11618,West Village,"40.73359, -74.00524"
11619,East Harlem,"40.80551, -73.93654"
11620,Washington Heights,"40.84154, -73.93766"
11621,East Village,"40.72845, -73.97927"
11622,Midtown,"40.76536, -73.98199"
11623,Harlem,"40.82971, -73.94521"
11624,Morningside Heights,"40.81053, -73.96123"
11625,Gramercy,"40.73594, -73.97947"
11626,Midtown,"40.75827, -73.97092"
11627,Hell's Kitchen,"40.76321, -73.98775"
11628,Chelsea,"40.74553, -73.99784"
11629,Roosevelt Island,"40.76322, -73.94899"
11630,Inwood,"40.86761, -73.92718"
11631,East Village,"40.7277, -73.97841"
11632,Inwood,"40.86158, -73.92393"
11633,Lower East Side,"40.7198, -73.98209"
11634,Washington Heights,"40.84385, -73.94324"
11635,Financial District,"40.70912, -74.01322"
11636,East Harlem,"40.79999, -73.94233"
11637,Gramercy,"40.73433, -73.98216"
11638,Midtown,"40.76641, -73.98163"
11639,Roosevelt Island,"40.77, -73.94285"
11640,Inwood,"40.86114, -73.92717"
11641,East Village,"40.72694, -73.98501"
11642,Upper West Side,"40.80121, -73.96277"
11643,Battery Park City,"40.70431, -74.0168"
11644,Morningside Heights,"40.80692, -73.96434"
11645,Hell's Kitchen,"40.7662, -73.98612"
11646,East Harlem,"40.79658, -73.93287"
11647,East Village,"40.72693, -73.98521"
11648,Lower East Side,"40.72107, -73.9834"
11649,Chelsea,"40.74063, -73.99843"
11650,Lower East Side,"40.713, -73.98986"
11651,Little Italy,"40.71967, -73.99583"
11652,East Village,"40.73112, -73.98364"
11653,Hell's Kitchen,"40.76303, -73.99225"
11654,East Harlem,"40.78908, -73.94216"
11655,Hell's Kitchen,"40.75915, -73.99932"
11656,Chelsea,"40.74768, -73.99965"
11657,Upper East Side,"40.76876, -73.95979"
11658,Hell's Kitchen,"40.7614, -73.98682"
11659,Upper West Side,"40.77033, -73.98521"
11660,Morningside Heights,"40.81626, -73.96035"
11661,West Village,"40.73453, -74.00656"
11662,Chinatown,"40.71807, -74.00215"
11663,Upper East Side,"40.77604, -73.94524"
11664,Harlem,"40.8122, -73.95246"
11665,Inwood,"40.86414, -73.92537"
11666,West Village,"40.73226, -74.00401"
11667,East Village,"40.72796, -73.98178"
11668,Upper East Side,"40.77821, -73.95504"
11669,Flatiron District,"40.73928, -73.98583"
11670,Nolita,"40.72044, -73.99645"
11671,Harlem,"40.8087, -73.94335"
11672,Harlem,"40.82865, -73.95069"
11673,Gramercy,"40.73878, -73.9839"
11674,Greenwich Village,"40.72893, -74.00176"
11675,Chelsea,"40.74011, -73.99745"
11676,West Village,"40.73526, -74.00476"
11677,Upper West Side,"40.77326, -73.98888"
11678,West Village,"40.73678, -74.00566"
11679,Harlem,"40.82961, -73.94525"
11680,Upper West Side,"40.79233, -73.9643"
11681,Harlem,"40.81807, -73.95487"
11682,Midtown,"40.76579, -73.98057"
11683,Chinatown,"40.71336, -73.99263"
11684,Harlem,"40.82755, -73.93787"
11685,Washington Heights,"40.84782, -73.93954"
11686,Kips Bay,"40.74496, -73.97867"
11687,Upper West Side,"40.7902, -73.97568"
11688,Washington Heights,"40.84733, -73.93445"
11689,East Village,"40.72824, -73.97824"
11690,Chelsea,"40.74423, -74.0026"
11691,Gramercy,"40.73731, -73.98338"
11692,Harlem,"40.82244, -73.94773"
11693,Upper East Side,"40.77542, -73.95437"
11694,Upper East Side,"40.77736, -73.95156"
11695,Hell's Kitchen,"40.76126, -73.99117"
11696,Washington Heights,"40.83767, -73.94171"
11697,Hell's Kitchen,"40.76593, -73.99186"
11698,Lower East Side,"40.71426, -73.98873"
11699,East Harlem,"40.80995, -73.93801"
11700,East Harlem,"40.79952, -73.93764"
11701,Lower East Side,"40.72189, -73.99133"
11702,Gramercy,"40.73721, -73.98887"
11703,Harlem,"40.82125, -73.95"
11704,Upper West Side,"40.7732, -73.98768"
11705,Theater District,"40.75588, -73.987"
11706,Harlem,"40.81634, -73.95735"
11707,Harlem,"40.83046, -73.94142"
11708,Kips Bay,"40.74155, -73.98138"
11709,Washington Heights,"40.85112, -73.93851"
11710,Harlem,"40.82549, -73.95133"
11711,East Harlem,"40.79056, -73.9468"
11712,Tribeca,"40.71812, -74.0044"
11713,Hell's Kitchen,"40.7631, -73.99133"
11714,West Village,"40.73933, -74.00241"
11715,Greenwich Village,"40.72897, -74.00167"
11716,Upper East Side,"40.76574, -73.95915"
11717,Murray Hill,"40.74409, -73.97167"
11718,Morningside Heights,"40.8151, -73.96091"
11719,Upper West Side,"40.79759, -73.96544"
11720,Upper West Side,"40.79881, -73.9596"
11721,Kips Bay,"40.74263, -73.97639"
11722,Chelsea,"40.75094, -73.99748"
11723,Hell's Kitchen,"40.75703, -73.99371"
11724,Theater District,"40.75918, -73.98801"
11725,SoHo,"40.72042, -73.99844"
11726,Financial District,"40.71064, -74.00754"
11727,Harlem,"40.80639, -73.95551"
11728,Tribeca,"40.71928, -74.01125"
11729,Upper West Side,"40.78182, -73.98492"
11730,Chelsea,"40.74465, -73.9955"
11731,West Village,"40.72861, -74.0049"
11732,Upper East Side,"40.76398, -73.96581"
11733,Chelsea,"40.74016, -74.00049"
11734,Hell's Kitchen,"40.76011, -73.99571"
11735,Upper West Side,"40.7961, -73.963"
11736,Washington Heights,"40.85051, -73.93579"
11737,Midtown,"40.76554, -73.98245"
11738,Harlem,"40.81482, -73.95192"
11739,Harlem,"40.80602, -73.95362"
11740,Harlem,"40.81236, -73.94142"
11741,Tribeca,"40.71844, -74.00901"
11742,Hell's Kitchen,"40.75906, -73.99049"
11743,East Village,"40.73172, -73.9846"
11744,Harlem,"40.80446, -73.95567"
11745,Harlem,"40.80312, -73.95378"
11746,West Village,"40.73908, -74.00186"
11747,Upper West Side,"40.77822, -73.98016"
11748,Harlem,"40.81995, -73.94607"
11749,Harlem,"40.83038, -73.94531"
11750,Upper East Side,"40.75917, -73.95916"
11751,Midtown,"40.75258, -73.97111"
11752,Upper West Side,"40.79221, -73.97331"
11753,Nolita,"40.72094, -73.99706"
11754,West Village,"40.73254, -74.00698"
11755,Inwood,"40.86688, -73.92402"
11756,Financial District,"40.70601, -74.0096"
11757,Harlem,"40.81285, -73.95439"
11758,Washington Heights,"40.83967, -73.94189"
11759,Greenwich Village,"40.73083, -74.0006"
11760,Harlem,"40.82102, -73.94633"
11761,East Village,"40.72591, -73.98917"
11762,Hell's Kitchen,"40.75965, -73.99035"
11763,West Village,"40.73419, -74.00213"
11764,Harlem,"40.82392, -73.94537"
11765,East Village,"40.72772, -73.98091"
11766,East Village,"40.72793, -73.98876"
11767,Kips Bay,"40.73972, -73.98412"
11768,Financial District,"40.70892, -74.01325"
11769,Hell's Kitchen,"40.76213, -73.99938"
11770,Upper West Side,"40.77771, -73.98244"
11771,Upper West Side,"40.79745, -73.96936"
11772,Hell's Kitchen,"40.76269, -73.99364"
11773,Harlem,"40.83338, -73.95051"
11774,East Village,"40.72884, -73.98277"
11775,Harlem,"40.81219, -73.94499"
11776,Upper West Side,"40.77396, -73.98782"
11777,Hell's Kitchen,"40.7637, -73.99184"
11778,Theater District,"40.76135, -73.98668"
11779,Upper West Side,"40.79637, -73.96996"
11780,Hell's Kitchen,"40.76202, -73.99201"
11781,Harlem,"40.82252, -73.94462"
11782,West Village,"40.73299, -74.00444"
11783,Upper West Side,"40.78558, -73.97251"
11784,East Village,"40.7221, -73.98259"
11785,Upper West Side,"40.79093, -73.97969"
11786,Hell's Kitchen,"40.75628, -73.99643"
11787,Midtown,"40.76427, -73.98208"
11788,Nolita,"40.72399, -73.99426"
11789,Hell's Kitchen,"40.76359, -73.98608"
11790,Morningside Heights,"40.81386, -73.95936"
11791,Theater District,"40.75927, -73.98646"
11792,Chelsea,"40.74299, -73.99436"
11793,Gramercy,"40.73794, -73.98423"
11794,Lower East Side,"40.71165, -73.98708"
11795,Harlem,"40.80845, -73.94435"
11796,Hell's Kitchen,"40.75634, -73.99641"
11797,Harlem,"40.81695, -73.94335"
11798,Upper East Side,"40.77108, -73.9485"
11799,East Village,"40.7316, -73.98507"
11800,Chelsea,"40.74735, -73.99974"
11801,Chelsea,"40.74121, -73.99995"
11802,Upper West Side,"40.7751, -73.98148"
11803,Midtown,"40.75249, -73.97412"
11804,Hell's Kitchen,"40.75996, -73.99798"
11805,East Village,"40.72405, -73.9845"
11806,Kips Bay,"40.7451, -73.97915"
11807,Lower East Side,"40.71692, -73.98259"
11808,Lower East Side,"40.71798, -73.98418"
11809,East Village,"40.72309, -73.98519"
11810,Hell's Kitchen,"40.75811, -73.99073"
11811,East Village,"40.732, -73.98759"
11812,Midtown,"40.75184, -73.97302"
11813,Chinatown,"40.71409, -73.9918"
11814,Washington Heights,"40.84634, -73.93861"
11815,Hell's Kitchen,"40.76217, -73.99105"
11816,Upper West Side,"40.77917, -73.97397"
11817,Hell's Kitchen,"40.76142, -73.99865"
11818,Inwood,"40.86284, -73.92704"
11819,Midtown,"40.74822, -73.98555"
11820,East Harlem,"40.80775, -73.93767"
11821,Upper East Side,"40.77754, -73.95641"
11822,Upper West Side,"40.79782, -73.97179"
11823,Morningside Heights,"40.81171, -73.96352"
11824,Kips Bay,"40.74352, -73.97859"
11825,East Harlem,"40.78714, -73.94114"
11826,Midtown,"40.75939, -73.96177"
11827,Upper East Side,"40.78423, -73.94786"
11828,Harlem,"40.82377, -73.94565"
11829,Upper West Side,"40.77874, -73.98437"
11830,Midtown,"40.75166, -73.97154"
11831,Greenwich Village,"40.72923, -73.99949"
11832,Upper West Side,"40.77255, -73.99057"
11833,Midtown,"40.75305, -73.96947"
11834,Harlem,"40.82267, -73.94677"
11835,Hell's Kitchen,"40.7602, -73.99868"
11836,Upper East Side,"40.76749, -73.96392"
11837,Upper West Side,"40.79499, -73.97669"
11838,Kips Bay,"40.74075, -73.98162"
11839,East Village,"40.72526, -73.99201"
11840,Midtown,"40.74631, -73.98551"
11841,Two Bridges,"40.7119, -73.99364"
11842,West Village,"40.73495, -74.00402"
11843,Morningside Heights,"40.81065, -73.96312"
11844,Upper West Side,"40.80179, -73.96872"
11845,West Village,"40.73881, -74.00398"
11846,Washington Heights,"40.84248, -73.93849"
11847,East Village,"40.72499, -73.98127"
11848,Theater District,"40.76063, -73.98577"
11849,Harlem,"40.81932, -73.95765"
11850,Upper East Side,"40.76651, -73.95155"
11851,Midtown,"40.7521, -73.97334"
11852,Harlem,"40.80856, -73.94573"
11853,Midtown,"40.76551, -73.98217"
11854,Financial District,"40.71138, -74.00834"
11855,Inwood,"40.87247, -73.91927"
11856,Two Bridges,"40.71298, -73.99406"
11857,Roosevelt Island,"40.76038, -73.95085"
11858,Harlem,"40.81376, -73.95354"
11859,Harlem,"40.81041, -73.94337"
11860,Financial District,"40.70599, -74.01236"
11861,Upper East Side,"40.76244, -73.96215"
11862,Upper West Side,"40.78498, -73.97284"
11863,Kips Bay,"40.74499, -73.97937"
11864,Financial District,"40.70559, -74.00669"
11865,Midtown,"40.76523, -73.98054"
11866,Midtown,"40.74512, -73.98176"
11867,Upper West Side,"40.78443, -73.98256"
11868,Lower East Side,"40.72118, -73.98875"
11869,Washington Heights,"40.83935, -73.94019"
11870,NoHo,"40.72459, -73.99366"
11871,Upper West Side,"40.8032, -73.96495"
11872,Chelsea,"40.74312, -73.99573"
11873,Harlem,"40.82794, -73.94163"
11874,Upper East Side,"40.76996, -73.95117"
11875,West Village,"40.73126, -74.00502"
11876,Harlem,"40.80251, -73.95765"
11877,Hell's Kitchen,"40.76803, -73.98767"
11878,Chelsea,"40.74081, -74.00296"
11879,East Village,"40.72309, -73.98428"
11880,Hell's Kitchen,"40.76452, -73.99439"
11881,Hell's Kitchen,"40.76391, -73.98892"
11882,Harlem,"40.80075, -73.95676"
11883,Financial District,"40.70441, -74.00637"
11884,Hell's Kitchen,"40.76487, -73.98912"
11885,Tribeca,"40.71726, -74.01134"
11886,Lower East Side,"40.72153, -73.99331"
11887,East Harlem,"40.80954, -73.93934"
11888,Washington Heights,"40.85035, -73.9325"
11889,Morningside Heights,"40.80348, -73.9632"
11890,Harlem,"40.80805, -73.9456"
11891,Midtown,"40.75138, -73.98143"
11892,Harlem,"40.80797, -73.9489"
11893,Theater District,"40.75896, -73.98216"
11894,Murray Hill,"40.74537, -73.97652"
11895,East Village,"40.72759, -73.98786"
11896,Harlem,"40.82775, -73.94313"
11897,East Harlem,"40.78827, -73.94629"
11898,East Harlem,"40.80617, -73.9415"
11899,Upper West Side,"40.76984, -73.98225"
11900,Midtown,"40.76352, -73.9777"
